LABELS,gain_loss
COLORS,#00ff00
Alveolata,0
Ancyromonadida,0
Apusomonadida,0
Breviatea,0
Centrohelida,1
Cercozoa,0
Chloroplastida,0
Choanomonada,0
Collodictyonidae,0
Cryptophyceae,0
Dictyostelia,0
Discoba,0
Foraminifera,0
Fungi,0
Glaucophyta,1
Haptophyta,0
Ichthyosporea,0
Kathablepharidae,0
Malawimonadidae,0
Metamonada,0
Metazoa,0
Nucleariida,0
Polycystinea,0
Rhodophycea,0
Rigifilida,0
Stramenopila,0
Telonema,0
Tubulinea,0
