LABELS,change
COLORS,#00ff00
Alveolata,82
Ancyromonadida,47
Apusomonadida,33
Breviatea,0
Centrohelida,0
Cercozoa,50
Chloroplastida,70
Choanomonada,0
Collodictyonidae,0
Cryptophyceae,185
Dictyostelia,76
Discoba,56
Foraminifera,0
Fungi,96
Glaucophyta,0
Haptophyta,34
Ichthyosporea,159
Kathablepharidae,20
Malawimonadidae,0
Metamonada,68
Metazoa,100
Nucleariida,0
Polycystinea,975
Rhodophycea,67
Rigifilida,0
Stramenopila,73
Telonema,0
Tubulinea,300
